ConcatUF+Mun;IBGE;IBGE7;UF;Município;Região;População 2010;Porte;Capital;
RORolim de Moura;110028;1100288;RO;Rolim de Moura;Região Norte;50648;Médio;;
ROSanta Luzia D'oeste;110029;1100296;RO;Santa Luzia D´oeste;Região Norte;8886;Pequeno I;;
ROVilhena;110030;1100304;RO;Vilhena;Região Norte;76202;Médio;;
ROSão Miguel do Guaporé;110032;1100320;RO;São Miguel do Guaporé;Região Norte;21828;Pequeno II;;
RONova Mamoré;110033;1100338;RO;Nova Mamoré;Região Norte;22546;Pequeno II;;
ROAlvorada D'oeste;110034;1100346;RO;Alvorada D´oeste;Região Norte;16853;Pequeno I;;
ROAlto Alegre Dos Parecis;110037;1100379;RO;Alto Alegre Dos Parecis;Região Norte;12816;Pequeno I;;
ROAlto Paraíso;110040;1100403;RO;Alto Paraíso;Região Norte;17135;Pequeno I;;
ROBuritis;110045;1100452;RO;Buritis;Região Norte;32383;Pequeno II;;
RONovo Horizonte do Oeste;110050;1100502;RO;Novo Horizonte do Oeste;Região Norte;10240;Pequeno I;;
ROCacaulândia;110060;1100601;RO;Cacaulândia;Região Norte;5736;Pequeno I;;
ROCampo Novo de Rondônia;110070;1100700;RO;Campo Novo de Rondônia;Região Norte;12665;Pequeno I;;
ROCandeias do Jamari;110080;1100809;RO;Candeias do Jamari;Região Norte;19779;Pequeno I;;
ROCastanheiras;110090;1100908;RO;Castanheiras;Região Norte;3575;Pequeno I;;
ROChupinguaia;110092;1100924;RO;Chupinguaia;Região Norte;8301;Pequeno I;;
ROCujubim;110094;1100940;RO;Cujubim;Região Norte;15854;Pequeno I;;
ROGovernador Jorge Teixeira;110100;1101005;RO;Governador Jorge Teixeira;Região Norte;10512;Pequeno I;;
ROItapuã do Oeste;110110;1101104;RO;Itapuã do Oeste;Região Norte;8566;Pequeno I;;
ROMinistro Andreazza;110120;1101203;RO;Ministro Andreazza;Região Norte;10352;Pequeno I;;
ROMirante da Serra;110130;1101302;RO;Mirante da Serra;Região Norte;11878;Pequeno I;;
ROMonte Negro;110140;1101401;RO;Monte Negro;Região Norte;14091;Pequeno I;;
RONova União;110143;1101435;RO;Nova União;Região Norte;7493;Pequeno I;;
ROParecis;110145;1101450;RO;Parecis;Região Norte;4810;Pequeno I;;
ROPimenteiras do Oeste;110146;1101468;RO;Pimenteiras do Oeste;Região Norte;2315;Pequeno I;;
ROPrimavera de Rondônia;110147;1101476;RO;Primavera de Rondônia;Região Norte;3524;Pequeno I;;
ROSão Felipe D'oeste;110148;1101484;RO;São Felipe D´oeste;Região Norte;6018;Pequeno I;;
ROSão Francisco do Guaporé;110149;1101492;RO;São Francisco do Guaporé;Região Norte;16035;Pequeno I;;
ROSeringueiras;110150;1101500;RO;Seringueiras;Região Norte;11629;Pequeno I;;
ROTeixeirópolis;110155;1101559;RO;Teixeirópolis;Região Norte;4888;Pequeno I;;
ROTheobroma;110160;1101609;RO;Theobroma;Região Norte;10649;Pequeno I;;
ROUrupá;110170;1101708;RO;Urupá;Região Norte;12974;Pequeno I;;
ROVale do Anari;110175;1101757;RO;Vale do Anari;Região Norte;9384;Pequeno I;;
ROVale do Paraíso;110180;1101807;RO;Vale do Paraíso;Região Norte;8210;Pequeno I;;
ACAcrelândia;120001;1200013;AC;Acrelândia;Região Norte;12538;Pequeno I;;
ACAssis Brasil;120005;1200054;AC;Assis Brasil;Região Norte;6072;Pequeno I;;
ACBrasiléia;120010;1200104;AC;Brasiléia;Região Norte;21398;Pequeno II;;
ACBujari;120013;1200138;AC;Bujari;Região Norte;8471;Pequeno I;;
ACCapixaba;120017;1200179;AC;Capixaba;Região Norte;8798;Pequeno I;;
ACCruzeiro do Sul;120020;1200203;AC;Cruzeiro do Sul;Região Norte;78507;Médio;;
ACEpitaciolândia;120025;1200252;AC;Epitaciolândia;Região Norte;15100;Pequeno I;;
ACFeijó;120030;1200302;AC;Feijó;Região Norte;32412;Pequeno II;;
ACJordão;120032;1200328;AC;Jordão;Região Norte;6577;Pequeno I;;
ACMâncio Lima;120033;1200336;AC;Mâncio Lima;Região Norte;15206;Pequeno I;;
ACManoel Urbano;120034;1200344;AC;Manoel Urbano;Região Norte;7981;Pequeno I;;
ACMarechal Thaumaturgo;120035;1200351;AC;Marechal Thaumaturgo;Região Norte;14227;Pequeno I;;
ACPlácido de Castro;120038;1200385;AC;Plácido de Castro;Região Norte;17209;Pequeno I;;
ACPorto Walter;120039;1200393;AC;Porto Walter;Região Norte;9176;Pequeno I;;
ACRio Branco;120040;1200401;AC;Rio Branco;Região Norte;336038;Grande;Capital;
ACRodrigues Alves;120042;1200427;AC;Rodrigues Alves;Região Norte;14389;Pequeno I;;
ACSanta Rosa do Purus;120043;1200435;AC;Santa Rosa do Purus;Região Norte;4691;Pequeno I;;
ACSenador Guiomard;120045;1200450;AC;Senador Guiomard;Região Norte;20179;Pequeno II;;
ACSena Madureira;120050;1200500;AC;Sena Madureira;Região Norte;38029;Pequeno II;;
ACTarauacá;120060;1200609;AC;Tarauacá;Região Norte;35590;Pequeno II;;
ACXapuri;120070;1200708;AC;Xapuri;Região Norte;16091;Pequeno I;;
ACPorto Acre;120080;1200807;AC;Porto Acre;Região Norte;14880;Pequeno I;;
AMAlvarães;130002;1300029;AM;Alvarães;Região Norte;14088;Pequeno I;;
AMAmaturá;130006;1300060;AM;Amaturá;Região Norte;9467;Pequeno I;;
AMAnamã;130008;1300086;AM;Anamã;Região Norte;10214;Pequeno I;;
AMAnori;130010;1300102;AM;Anori;Região Norte;16317;Pequeno I;;
AMApuí;130014;1300144;AM;Apuí;Região Norte;18007;Pequeno I;;
AMAtalaia do Norte;130020;1300201;AM;Atalaia do Norte;Região Norte;15153;Pequeno I;;
AMAutazes;130030;1300300;AM;Autazes;Região Norte;32135;Pequeno II;;
AMBarcelos;130040;1300409;AM;Barcelos;Região Norte;25718;Pequeno II;;
AMBarreirinha;130050;1300508;AM;Barreirinha;Região Norte;27355;Pequeno II;;
AMBenjamin Constant;130060;1300607;AM;Benjamin Constant;Região Norte;33411;Pequeno II;;
AMBeruri;130063;1300631;AM;Beruri;Região Norte;15486;Pequeno I;;
AMBoa Vista do Ramos;130068;1300680;AM;Boa Vista do Ramos;Região Norte;14979;Pequeno I;;
AMBoca do Acre;130070;1300706;AM;Boca do Acre;Região Norte;30632;Pequeno II;;
AMBorba;130080;1300805;AM;Borba;Região Norte;34961;Pequeno II;;
AMCaapiranga;130083;1300839;AM;Caapiranga;Região Norte;10975;Pequeno I;;
AMCanutama;130090;1300904;AM;Canutama;Região Norte;12738;Pequeno I;;
AMCarauari;130100;1301001;AM;Carauari;Região Norte;25774;Pequeno II;;
AMCareiro;130110;1301100;AM;Careiro;Região Norte;32734;Pequeno II;;
AMCareiro da Várzea;130115;1301159;AM;Careiro da Várzea;Região Norte;23930;Pequeno II;;
AMCoari;130120;1301209;AM;Coari;Região Norte;75965;Médio;;
AMCodajás;130130;1301308;AM;Codajás;Região Norte;23206;Pequeno II;;
AMEirunepé;130140;1301407;AM;Eirunepé;Região Norte;30665;Pequeno II;;
AMEnvira;130150;1301506;AM;Envira;Região Norte;16338;Pequeno I;;
AMFonte Boa;130160;1301605;AM;Fonte Boa;Região Norte;22817;Pequeno II;;
AMGuajará;130165;1301654;AM;Guajará;Região Norte;13974;Pequeno I;;
AMHumaitá;130170;1301704;AM;Humaitá;Região Norte;44227;Pequeno II;;
AMIpixuna;130180;1301803;AM;Ipixuna;Região Norte;22254;Pequeno II;;
AMIranduba;130185;1301852;AM;Iranduba;Região Norte;40781;Pequeno II;;
AMItacoatiara;130190;1301902;AM;Itacoatiara;Região Norte;86839;Médio;;
AMItamarati;130195;1301951;AM;Itamarati;Região Norte;8038;Pequeno I;;
AMItapiranga;130200;1302009;AM;Itapiranga;Região Norte;8211;Pequeno I;;
AMJapurá;130210;1302108;AM;Japurá;Região Norte;7326;Pequeno I;;
AMJuruá;130220;1302207;AM;Juruá;Região Norte;10802;Pequeno I;;
AMJutaí;130230;1302306;AM;Jutaí;Região Norte;17992;Pequeno I;;
AMLábrea;130240;1302405;AM;Lábrea;Região Norte;37701;Pequeno II;;
AMManacapuru;130250;1302504;AM;Manacapuru;Região Norte;85141;Médio;;
AMManaquiri;130255;1302553;AM;Manaquiri;Região Norte;22801;Pequeno II;;
AMManaus;130260;1302603;AM;Manaus;Região Norte;1802014;Metrópole;Capital;
AMManicoré;130270;1302702;AM;Manicoré;Região Norte;47017;Pequeno II;;
AMMaraã;130280;1302801;AM;Maraã;Região Norte;17528;Pequeno I;;
AMMaués;130290;1302900;AM;Maués;Região Norte;52236;Médio;;
AMNhamundá;130300;1303007;AM;Nhamundá;Região Norte;18278;Pequeno I;;
AMNova Olinda do Norte;130310;1303106;AM;Nova Olinda do Norte;Região Norte;30696;Pequeno II;;
AMNovo Airão;130320;1303205;AM;Novo Airão;Região Norte;14723;Pequeno I;;
AMNovo Aripuanã;130330;1303304;AM;Novo Aripuanã;Região Norte;21451;Pequeno II;;
AMParintins;130340;1303403;AM;Parintins;Região Norte;102033;Grande;;
AMPauini;130350;1303502;AM;Pauini;Região Norte;18166;Pequeno I;;
AMPresidente Figueiredo;130353;1303536;AM;Presidente Figueiredo;Região Norte;27175;Pequeno II;;
AMRio Preto da Eva;130356;1303569;AM;Rio Preto da Eva;Região Norte;25719;Pequeno II;;
AMSanta Isabel do Rio Negro;130360;1303601;AM;Santa Isabel do Rio Negro;Região Norte;18146;Pequeno I;;
AMSanto Antônio do Içá;130370;1303700;AM;Santo Antônio do Içá;Região Norte;24481;Pequeno II;;
AMSão Gabriel da Cachoeira;130380;1303809;AM;São Gabriel da Cachoeira;Região Norte;37896;Pequeno II;;
AMSão Paulo de Olivença;130390;1303908;AM;São Paulo de Olivença;Região Norte;31422;Pequeno II;;
AMSão Sebastião do Uatumã;130395;1303957;AM;São Sebastião do Uatumã;Região Norte;10705;Pequeno I;;
AMSilves;130400;1304005;AM;Silves;Região Norte;8444;Pequeno I;;
AMTabatinga;130406;1304062;AM;Tabatinga;Região Norte;52272;Médio;;
AMTapauá;130410;1304104;AM;Tapauá;Região Norte;19077;Pequeno I;;
AMTefé;130420;1304203;AM;Tefé;Região Norte;61453;Médio;;
AMTonantins;130423;1304237;AM;Tonantins;Região Norte;17079;Pequeno I;;
AMUarini;130426;1304260;AM;Uarini;Região Norte;11891;Pequeno I;;
AMUrucará;130430;1304302;AM;Urucará;Região Norte;17094;Pequeno I;;
AMUrucurituba;130440;1304401;AM;Urucurituba;Região Norte;17837;Pequeno I;;
RRAmajari;140002;1400027;RR;Amajari;Região Norte;9327;Pequeno I;;
RRAlto Alegre;140005;1400050;RR;Alto Alegre;Região Norte;16448;Pequeno I;;
RRBoa Vista;140010;1400100;RR;Boa Vista;Região Norte;284313;Grande;Capital;
RRBonfim;140015;1400159;RR;Bonfim;Região Norte;10943;Pequeno I;;
RRCantá;140017;1400175;RR;Cantá;Região Norte;13902;Pequeno I;;
RRCaracaraí;140020;1400209;RR;Caracaraí;Região Norte;18398;Pequeno I;;
RRCaroebe;140023;1400233;RR;Caroebe;Região Norte;8114;Pequeno I;;
RRIracema;140028;1400282;RR;Iracema;Região Norte;8696;Pequeno I;;
RRMucajaí;140030;1400308;RR;Mucajaí;Região Norte;14792;Pequeno I;;
RRNormandia;140040;1400407;RR;Normandia;Região Norte;8940;Pequeno I;;
RRPacaraima;140045;1400456;RR;Pacaraima;Região Norte;10433;Pequeno I;;
RRRorainópolis;140047;1400472;RR;Rorainópolis;Região Norte;24279;Pequeno II;;
RRSão João da Baliza;140050;1400506;RR;São João da Baliza;Região Norte;6769;Pequeno I;;
RRSão Luiz;140060;1400605;RR;São Luiz;Região Norte;6750;Pequeno I;;
RRUiramutã;140070;1400704;RR;Uiramutã;Região Norte;8375;Pequeno I;;
PAAbaetetuba;150010;1500107;PA;Abaetetuba;Região Norte;141100;Grande;;
PAAbel Figueiredo;150013;1500131;PA;Abel Figueiredo;Região Norte;6780;Pequeno I;;
PAAcará;150020;1500206;PA;Acará;Região Norte;53569;Médio;;
PAAfuá;150030;1500305;PA;Afuá;Região Norte;35042;Pequeno II;;
PAÁgua Azul do Norte;150034;1500347;PA;Água Azul do Norte;Região Norte;25057;Pequeno II;;
PAAlenquer;150040;1500404;PA;Alenquer;Região Norte;52626;Médio;;
PAAlmeirim;150050;1500503;PA;Almeirim;Região Norte;33614;Pequeno II;;
PAAltamira;150060;1500602;PA;Altamira;Região Norte;99075;Médio;;
PAAnajás;150070;1500701;PA;Anajás;Região Norte;24759;Pequeno II;;
PAAnanindeua;150080;1500800;PA;Ananindeua;Região Norte;471980;Grande;;
PAAnapu;150085;1500859;PA;Anapu;Região Norte;20543;Pequeno II;;
PAAugusto Corrêa;150090;1500909;PA;Augusto Corrêa;Região Norte;40497;Pequeno II;;
PAAurora do Pará;150095;1500958;PA;Aurora do Pará;Região Norte;26546;Pequeno II;;
PAAveiro;150100;1501006;PA;Aveiro;Região Norte;15849;Pequeno I;;
PABagre;150110;1501105;PA;Bagre;Região Norte;23864;Pequeno II;;
PABaião;150120;1501204;PA;Baião;Região Norte;36882;Pequeno II;;
PABannach;150125;1501253;PA;Bannach;Região Norte;3431;Pequeno I;;
PABarcarena;150130;1501303;PA;Barcarena;Região Norte;99859;Médio;;
PABelém;150140;1501402;PA;Belém;Região Norte;1393399;Metrópole;Capital;
PABelterra;150145;1501451;PA;Belterra;Região Norte;16318;Pequeno I;;
PABenevides;150150;1501501;PA;Benevides;Região Norte;51651;Médio;;
PABom Jesus do Tocantins;150157;1501576;PA;Bom Jesus do Tocantins;Região Norte;15298;Pequeno I;;
PABonito;150160;1501600;PA;Bonito;Região Norte;13630;Pequeno I;;
PABragança;150170;1501709;PA;Bragança;Região Norte;113227;Grande;;
PABrasil Novo;150172;1501725;PA;Brasil Novo;Região Norte;15690;Pequeno I;;
PABrejo Grande do Araguaia;150175;1501758;PA;Brejo Grande do Araguaia;Região Norte;7317;Pequeno I;;
PABreu Branco;150178;1501782;PA;Breu Branco;Região Norte;52493;Médio;;
PABreves;150180;1501808;PA;Breves;Região Norte;92860;Médio;;
PABujaru;150190;1501907;PA;Bujaru;Região Norte;25695;Pequeno II;;
PACachoeira do Piriá;150195;1501956;PA;Cachoeira do Piriá;Região Norte;26484;Pequeno II;;
PACachoeira do Arari;150200;1502004;PA;Cachoeira do Arari;Região Norte;20443;Pequeno II;;
PACametá;150210;1502103;PA;Cametá;Região Norte;120896;Grande;;
PACanaã Dos Carajás;150215;1502152;PA;Canaã Dos Carajás;Região Norte;26716;Pequeno II;;
PACapanema;150220;1502202;PA;Capanema;Região Norte;63639;Médio;;
PACapitão Poço;150230;1502301;PA;Capitão Poço;Região Norte;51893;Médio;;
PACastanhal;150240;1502400;PA;Castanhal;Região Norte;173149;Grande;;
PAChaves;150250;1502509;PA;Chaves;Região Norte;21005;Pequeno II;;
PAColares;150260;1502608;PA;Colares;Região Norte;11381;Pequeno I;;
PAConceição do Araguaia;150270;1502707;PA;Conceição do Araguaia;Região Norte;45557;Pequeno II;;
PAConcórdia do Pará;150275;1502756;PA;Concórdia do Pará;Região Norte;28216;Pequeno II;;
PACumaru do Norte;150276;1502764;PA;Cumaru do Norte;Região Norte;10466;Pequeno I;;
PACurionópolis;150277;1502772;PA;Curionópolis;Região Norte;18288;Pequeno I;;
PACurralinho;150280;1502806;PA;Curralinho;Região Norte;28549;Pequeno II;;
PACuruá;150285;1502855;PA;Curuá;Região Norte;12254;Pequeno I;;
PACuruçá;150290;1502905;PA;Curuçá;Região Norte;34294;Pequeno II;;
PADom Eliseu;150293;1502939;PA;Dom Eliseu;Região Norte;51319;Médio;;
PAEldorado Dos Carajás;150295;1502954;PA;Eldorado Dos Carajás;Região Norte;31786;Pequeno II;;
PAFaro;150300;1503002;PA;Faro;Região Norte;8177;Pequeno I;;
PAFloresta do Araguaia;150304;1503044;PA;Floresta do Araguaia;Região Norte;17768;Pequeno I;;
PAGarrafão do Norte;150307;1503077;PA;Garrafão do Norte;Região Norte;25034;Pequeno II;;
PAGoianésia do Pará;150309;1503093;PA;Goianésia do Pará;Região Norte;30436;Pequeno II;;
PAGurupá;150310;1503101;PA;Gurupá;Região Norte;29062;Pequeno II;;
PAIgarapé-açu;150320;1503200;PA;Igarapé-açu;Região Norte;35887;Pequeno II;;
PAIgarapé-miri;150330;1503309;PA;Igarapé-miri;Região Norte;58077;Médio;;
PAInhangapi;150340;1503408;PA;Inhangapi;Região Norte;10037;Pequeno I;;
PAIpixuna do Pará;150345;1503457;PA;Ipixuna do Pará;Região Norte;51309;Médio;;
PAIrituia;150350;1503507;PA;Irituia;Região Norte;31364;Pequeno II;;
PAItaituba;150360;1503606;PA;Itaituba;Região Norte;97493;Médio;;
PAItupiranga;150370;1503705;PA;Itupiranga;Região Norte;51220;Médio;;
PAJacareacanga;150375;1503754;PA;Jacareacanga;Região Norte;14103;Pequeno I;;
PAJacundá;150380;1503804;PA;Jacundá;Região Norte;51360;Médio;;
PAJuruti;150390;1503903;PA;Juruti;Região Norte;47086;Pequeno II;;
PALimoeiro do Ajuru;150400;1504000;PA;Limoeiro do Ajuru;Região Norte;25021;Pequeno II;;
PAMãe do Rio;150405;1504059;PA;Mãe do Rio;Região Norte;27904;Pequeno II;;
PAMagalhães Barata;150410;1504109;PA;Magalhães Barata;Região Norte;8115;Pequeno I;;
PAMarabá;150420;1504208;PA;Marabá;Região Norte;233669;Grande;;
PAMaracanã;150430;1504307;PA;Maracanã;Região Norte;28376;Pequeno II;;
PAMarapanim;150440;1504406;PA;Marapanim;Região Norte;26605;Pequeno II;;
PAMarituba;150442;1504422;PA;Marituba;Região Norte;108246;Grande;;
PAMedicilândia;150445;1504455;PA;Medicilândia;Região Norte;27328;Pequeno II;;
PAMelgaço;150450;1504505;PA;Melgaço;Região Norte;24808;Pequeno II;;
PAMocajuba;150460;1504604;PA;Mocajuba;Região Norte;26731;Pequeno II;;
PAMoju;150470;1504703;PA;Moju;Região Norte;70018;Médio;;
PAMojuí dos Campos;150475;1504752;PA;Mojuí dos Campos;Região Norte;;Pequeno I;;
PAMonte Alegre;150480;1504802;PA;Monte Alegre;Região Norte;55462;Médio;;
PAMuaná;150490;1504901;PA;Muaná;Região Norte;34204;Pequeno II;;
PANova Esperança do Piriá;150495;1504950;PA;Nova Esperança do Piriá;Região Norte;20158;Pequeno II;;
PANova Ipixuna;150497;1504976;PA;Nova Ipixuna;Região Norte;14645;Pequeno I;;
PANova Timboteua;150500;1505007;PA;Nova Timboteua;Região Norte;13670;Pequeno I;;
PANovo Progresso;150503;1505031;PA;Novo Progresso;Região Norte;25124;Pequeno II;;
PANovo Repartimento;150506;1505064;PA;Novo Repartimento;Região Norte;62050;Médio;;
PAÓbidos;150510;1505106;PA;Óbidos;Região Norte;49333;Pequeno II;;
PAOeiras do Pará;150520;1505205;PA;Oeiras do Pará;Região Norte;28595;Pequeno II;;
PAOriximiná;150530;1505304;PA;Oriximiná;Região Norte;62794;Médio;;
PAOurém;150540;1505403;PA;Ourém;Região Norte;16311;Pequeno I;;
PAOurilândia do Norte;150543;1505437;PA;Ourilândia do Norte;Região Norte;27359;Pequeno II;;
PAPacajá;150548;1505486;PA;Pacajá;Região Norte;39979;Pequeno II;;
PAPalestina do Pará;150549;1505494;PA;Palestina do Pará;Região Norte;7475;Pequeno I;;
PAParagominas;150550;1505502;PA;Paragominas;Região Norte;97819;Médio;;
PAParauapebas;150553;1505536;PA;Parauapebas;Região Norte;153908;Grande;;
PAPau D'arco;150555;1505551;PA;Pau D´arco;Região Norte;6033;Pequeno I;;
PAPeixe-boi;150560;1505601;PA;Peixe-boi;Região Norte;7854;Pequeno I;;
PAPiçarra;150563;1505635;PA;Piçarra;Região Norte;12697;Pequeno I;;
PAPlacas;150565;1505650;PA;Placas;Região Norte;23934;Pequeno II;;
PAPonta de Pedras;150570;1505700;PA;Ponta de Pedras;Região Norte;25999;Pequeno II;;
PAPortel;150580;1505809;PA;Portel;Região Norte;52172;Médio;;
PAPorto de Moz;150590;1505908;PA;Porto de Moz;Região Norte;33956;Pequeno II;;
PAPrainha;150600;1506005;PA;Prainha;Região Norte;29349;Pequeno II;;
PAPrimavera;150610;1506104;PA;Primavera;Região Norte;10268;Pequeno I;;
PAQuatipuru;150611;1506112;PA;Quatipuru;Região Norte;12411;Pequeno I;;
PARedenção;150613;1506138;PA;Redenção;Região Norte;75556;Médio;;
PARio Maria;150616;1506161;PA;Rio Maria;Região Norte;17697;Pequeno I;;
PARondon do Pará;150618;1506187;PA;Rondon do Pará;Região Norte;46964;Pequeno II;;
PARurópolis;150619;1506195;PA;Rurópolis;Região Norte;40087;Pequeno II;;
PASalinópolis;150620;1506203;PA;Salinópolis;Região Norte;37421;Pequeno II;;
PASalvaterra;150630;1506302;PA;Salvaterra;Região Norte;20183;Pequeno II;;
PASanta Bárbara do Pará;150635;1506351;PA;Santa Bárbara do Pará;Região Norte;17141;Pequeno I;;
PASanta Cruz do Arari;150640;1506401;PA;Santa Cruz do Arari;Região Norte;8155;Pequeno I;;
PASanta Isabel do Pará;150650;1506500;PA;Santa Isabel do Pará;Região Norte;59466;Médio;;
PASanta Luzia do Pará;150655;1506559;PA;Santa Luzia do Pará;Região Norte;19424;Pequeno I;;
PASanta Maria Das Barreiras;150658;1506583;PA;Santa Maria Das Barreiras;Região Norte;17206;Pequeno I;;
PASanta Maria do Pará;150660;1506609;PA;Santa Maria do Pará;Região Norte;23026;Pequeno II;;
PASantana do Araguaia;150670;1506708;PA;Santana do Araguaia;Região Norte;56153;Médio;;
PASantarém;150680;1506807;PA;Santarém;Região Norte;294580;Grande;;
PASantarém Novo;150690;1506906;PA;Santarém Novo;Região Norte;6141;Pequeno I;;
PASanto Antônio do Tauá;150700;1507003;PA;Santo Antônio do Tauá;Região Norte;26674;Pequeno II;;
PASão Caetano de Odivelas;150710;1507102;PA;São Caetano de Odivelas;Região Norte;16891;Pequeno I;;
PASão Domingos do Araguaia;150715;1507151;PA;São Domingos do Araguaia;Região Norte;23130;Pequeno II;;
PASão Domingos do Capim;150720;1507201;PA;São Domingos do Capim;Região Norte;29846;Pequeno II;;
PASão Félix do Xingu;150730;1507300;PA;São Félix do Xingu;Região Norte;91340;Médio;;
PASão Francisco do Pará;150740;1507409;PA;São Francisco do Pará;Região Norte;15060;Pequeno I;;
PASão Geraldo do Araguaia;150745;1507458;PA;São Geraldo do Araguaia;Região Norte;25587;Pequeno II;;
PASão João da Ponta;150746;1507466;PA;São João da Ponta;Região Norte;5265;Pequeno I;;
PASão João de Pirabas;150747;1507474;PA;São João de Pirabas;Região Norte;20647;Pequeno II;;
PASão João do Araguaia;150750;1507508;PA;São João do Araguaia;Região Norte;13155;Pequeno I;;
PASão Miguel do Guamá;150760;1507607;PA;São Miguel do Guamá;Região Norte;51567;Médio;;
PASão Sebastião da Boa Vista;150770;1507706;PA;São Sebastião da Boa Vista;Região Norte;22904;Pequeno II;;
PASapucaia;150775;1507755;PA;Sapucaia;Região Norte;5047;Pequeno I;;
PASenador José Porfírio;150780;1507805;PA;Senador José Porfírio;Região Norte;13045;Pequeno I;;
PASoure;150790;1507904;PA;Soure;Região Norte;23001;Pequeno II;;
PATailândia;150795;1507953;PA;Tailândia;Região Norte;79297;Médio;;
PATerra Alta;150796;1507961;PA;Terra Alta;Região Norte;10262;Pequeno I;;
PATerra Santa;150797;1507979;PA;Terra Santa;Região Norte;16949;Pequeno I;;
PATomé-açu;150800;1508001;PA;Tomé-açu;Região Norte;56518;Médio;;
PATracuateua;150803;1508035;PA;Tracuateua;Região Norte;27455;Pequeno II;;
PATrairão;150805;1508050;PA;Trairão;Região Norte;16875;Pequeno I;;
PATucumã;150808;1508084;PA;Tucumã;Região Norte;33690;Pequeno II;;
PATucuruí;150810;1508100;PA;Tucuruí;Região Norte;97128;Médio;;
PAUlianópolis;150812;1508126;PA;Ulianópolis;Região Norte;43341;Pequeno II;;
PAUruará;150815;1508159;PA;Uruará;Região Norte;44789;Pequeno II;;
PAVigia;150820;1508209;PA;Vigia;Região Norte;47889;Pequeno II;;
PAViseu;150830;1508308;PA;Viseu;Região Norte;56716;Médio;;
PAVitória do Xingu;150835;1508357;PA;Vitória do Xingu;Região Norte;13431;Pequeno I;;
PAXinguara;150840;1508407;PA;Xinguara;Região Norte;40573;Pequeno II;;
APSerra do Navio;160005;1600055;AP;Serra do Navio;Região Norte;4380;Pequeno I;;
APAmapá;160010;1600105;AP;Amapá;Região Norte;8069;Pequeno I;;
APPedra Branca do Amapari;160015;1600154;AP;Pedra Branca do Amapari;Região Norte;10772;Pequeno I;;
APCalçoene;160020;1600204;AP;Calçoene;Região Norte;9000;Pequeno I;;
APCutias;160021;1600212;AP;Cutias;Região Norte;4696;Pequeno I;;
APFerreira Gomes;160023;1600238;AP;Ferreira Gomes;Região Norte;5802;Pequeno I;;
APItaubal;160025;1600253;AP;Itaubal;Região Norte;4265;Pequeno I;;
APLaranjal do Jari;160027;1600279;AP;Laranjal do Jari;Região Norte;39942;Pequeno II;;
APMacapá;160030;1600303;AP;Macapá;Região Norte;398204;Grande;Capital;
APMazagão;160040;1600402;AP;Mazagão;Região Norte;17032;Pequeno I;;
APOiapoque;160050;1600501;AP;Oiapoque;Região Norte;20509;Pequeno II;;
APPorto Grande;160053;1600535;AP;Porto Grande;Região Norte;16809;Pequeno I;;
APPracuúba;160055;1600550;AP;Pracuúba;Região Norte;3793;Pequeno I;;
APSantana;160060;1600600;AP;Santana;Região Norte;101262;Grande;;
APTartarugalzinho;160070;1600709;AP;Tartarugalzinho;Região Norte;12563;Pequeno I;;
